year,metric,sex,value
2024-2025,applied,male,30339
2024-2025,applied,female,34887
2024-2025,admitted,male,1634
2024-2025,admitted,female,1889
2024-2025,enrolled,male,1108
2024-2025,enrolled,female,1287
2023-2024,applied,male,27128
2023-2024,applied,female,32337
2023-2024,admitted,male,1602
2023-2024,admitted,female,1887
2023-2024,enrolled,male,1114
2023-2024,enrolled,female,1302
2022-2023,applied,male,25055
2022-2023,applied,female,29533
2022-2023,admitted,male,1627
2022-2023,admitted,female,1922
2022-2023,enrolled,male,1071
2022-2023,enrolled,female,1338
2021-2022,applied,male,26640
2021-2022,applied,female,29692
2021-2022,admitted,male,1505
2021-2022,admitted,female,1799
2021-2022,enrolled,male,1103
2021-2022,enrolled,female,1315
2020-2021,applied,male,21197
2020-2021,applied,female,21008
2020-2021,admitted,male,1789
2020-2021,admitted,female,2000
2020-2021,enrolled,male,1071
2020-2021,enrolled,female,1250
2019-2020,applied,male,22459
2019-2020,applied,female,22502
2019-2020,admitted,male,1625
2019-2020,admitted,female,1821
2019-2020,enrolled,male,1150
2019-2020,enrolled,female,1250
2018-2019,applied,male,22162
2018-2019,applied,female,22329
2018-2019,admitted,male,1700
2018-2019,admitted,female,2040
2018-2019,enrolled,male,1141
2018-2019,enrolled,female,1377
2017-2018,applied,male,20299
2017-2018,applied,female,20114
2017-2018,admitted,male,1732
2017-2018,admitted,female,2025
2017-2018,enrolled,male,1157
2017-2018,enrolled,female,1299
2016-2017,applied,male,19401
2016-2017,applied,female,19517
2016-2017,admitted,male,1756
2016-2017,admitted,female,1918
2016-2017,enrolled,male,1205
2016-2017,enrolled,female,1286
2015-2016,applied,male,19026
2015-2016,applied,female,18242
2015-2016,admitted,male,1827
2015-2016,admitted,female,1960
2015-2016,enrolled,male,1186
2015-2016,enrolled,female,1249
2014-2015,applied,male,18286
2014-2015,applied,female,17580
2014-2015,admitted,male,1771
2014-2015,admitted,female,1947
2014-2015,enrolled,male,1187
2014-2015,enrolled,female,1238
2013-2014,applied,male,16005
2013-2014,applied,female,15277
2013-2014,admitted,male,1850
2013-2014,admitted,female,1980
2013-2014,enrolled,male,1187
2013-2014,enrolled,female,1234
2012-2013,applied,male,15926
2012-2013,applied,female,15292
2012-2013,admitted,male,1945
2012-2013,admitted,female,1990
2012-2013,enrolled,male,1232
2012-2013,enrolled,female,1229
2011-2012,applied,male,16283
2011-2012,applied,female,15380
2011-2012,admitted,male,1992
2011-2012,admitted,female,1943
2011-2012,enrolled,male,1240
2011-2012,enrolled,female,1227
2010-2011,applied,male,13882
2010-2011,applied,female,13059
2010-2011,admitted,male,1908
2010-2011,admitted,female,1933
2010-2011,enrolled,male,1176
2010-2011,enrolled,female,1234
2009-2010,applied,male,11695
2009-2010,applied,female,11113
2009-2010,admitted,male,1961
2009-2010,admitted,female,2079
2009-2010,enrolled,male,1201
2009-2010,enrolled,female,1274
