year,category,male,female,unknown
2024-2025,undergrad_total,2428,2986,0
2024-2025,graduate_total,1153,1476,4
2024-2025,total_undergraduates,5490,,
2024-2025,total_graduate,3832,,
2024-2025,grand_total,9322,,
2023-2024,undergrad_FT_total,2409,3004,0
2023-2024,undergrad_PT_total,32,26,0
2023-2024,undergrad_total,2441,3030,0
2023-2024,graduate_FT_total,1140,1450,10
2023-2024,graduate_PT_total,335,709,6
2023-2024,graduate_total,1475,2159,16
2023-2024,total_undergraduates,5471,,
2023-2024,total_graduate,3650,,
2023-2024,grand_total,9121,,
2018-2019,total_undergraduates,5225,,
2018-2019,total_graduate,3176,,
2018-2019,grand_total,8401,,
